일시,총생활인구수
2018-01-01,10534264.0
2018-01-02,12237724.0
2018-01-03,12312633.0
2018-01-04,12368761.0
2018-01-05,12368042.0
2018-01-06,11159838.0
2018-01-07,11103644.0
2018-01-08,12298984.0
2018-01-09,12317813.0
2018-01-10,12357056.0
2018-01-11,12350081.0
2018-01-12,12406225.0
2018-01-13,11216532.0
2018-01-14,11082829.0
2018-01-15,12297730.0
2018-01-16,12381805.0
2018-01-17,12420172.0
2018-01-18,12328478.0
2018-01-19,12342138.0
2018-01-20,11170144.0
2018-01-21,11110000.0
2018-01-22,12367501.0
2018-01-23,12426423.0
2018-01-24,12407354.0
2018-01-25,12346228.0
2018-01-26,12339237.0
2018-01-27,11176253.0
2018-01-28,11054951.0
2018-01-29,12286098.0
2018-01-30,12399041.0
2018-01-31,12457241.0
2018-02-01,12483541.0
2018-02-02,12447084.0
2018-02-03,11233948.0
2018-02-04,11113260.0
2018-02-05,12309239.0
2018-02-06,12318149.0
2018-02-07,12323251.0
2018-02-08,12316100.0
2018-02-09,12308664.0
2018-02-10,11108616.0
2018-02-11,11021743.0
2018-02-12,12353321.0
2018-02-13,12303854.0
2018-02-14,11880147.0
2018-02-15,9687911.0
2018-02-16,9359418.0
2018-02-17,9462008.0
2018-02-18,10507786.0
2018-02-19,12200676.0
2018-02-20,12341564.0
2018-02-21,12385804.0
2018-02-22,12370293.0
2018-02-23,12401114.0
2018-02-24,11375812.0
2018-02-25,11189290.0
2018-02-26,12350960.0
2018-02-27,12348876.0
2018-02-28,12430928.0
2018-03-01,10830849.0
2018-03-02,11959094.0
2018-03-03,11084176.0
2018-03-04,11029263.0
2018-03-05,12132763.0
2018-03-06,12228140.0
2018-03-07,12178760.0
2018-03-08,12146687.0
2018-03-09,12221708.0
2018-03-10,11162091.0
2018-03-11,11075175.0
2018-03-12,12139430.0
2018-03-13,12140945.0
2018-03-14,12230554.0
2018-03-15,12119265.0
2018-03-16,12218503.0
2018-03-17,11235358.0
2018-03-18,11077920.0
2018-03-19,12109438.0
2018-03-20,12155466.0
2018-03-21,12191901.0
2018-03-22,12154447.0
2018-03-23,12270889.0
2018-03-24,11150284.0
2018-03-25,11069141.0
2018-03-26,12122090.0
2018-03-27,12140561.0
2018-03-28,12224106.0
2018-03-29,12171495.0
2018-03-30,12401826.0
2018-03-31,11329680.0
2018-04-01,11048933.0
2018-04-02,12164779.0
2018-04-03,12210834.0
2018-04-04,12345768.0
2018-04-05,12188904.0
2018-04-06,12321068.0
2018-04-07,11578880.0
2018-04-08,11249332.0
2018-04-09,12295925.0
2018-04-10,12248170.0
2018-04-11,12299991.0
2018-04-12,12248104.0
2018-04-13,12236584.0
2018-04-14,11078920.0
2018-04-15,11006244.0
2018-04-16,12081349.0
2018-04-17,12141698.0
2018-04-18,12221054.0
2018-04-19,12090492.0
2018-04-20,12158011.0
2018-04-21,11124616.0
2018-04-22,10831955.0
2018-04-23,12094335.0
2018-04-24,12190865.0
2018-04-25,12266305.0
2018-04-26,12200300.0
2018-04-27,12267876.0
2018-04-28,11143919.0
2018-04-29,10997004.0
2018-04-30,12036193.0
2018-05-01,10948206.0
2018-05-02,12147337.0
2018-05-03,12067359.0
2018-05-04,12199254.0
2018-05-05,10586137.0
2018-05-06,10404400.0
2018-05-07,10667419.0
2018-05-08,12020042.0
2018-05-09,12081274.0
2018-05-10,12009559.0
2018-05-11,12133257.0
2018-05-12,11112827.0
2018-05-13,11020373.0
2018-05-14,12057194.0
2018-05-15,12120068.0
2018-05-16,12095010.0
2018-05-17,12024560.0
2018-05-18,12055714.0
2018-05-19,11045538.0
2018-05-20,10880347.0
2018-05-21,11795620.0
2018-05-22,10507557.0
2018-05-23,12070350.0
2018-05-24,12101147.0
2018-05-25,12173512.0
2018-05-26,11195347.0
2018-05-27,10951614.0
2018-05-28,12849432.0
2018-05-29,12019336.0
2018-05-30,12076740.0
2018-05-31,12124919.0
2018-06-01,12143456.0
2018-06-02,11056353.0
2018-06-03,11014412.0
2018-06-04,11999850.0
2018-06-05,12063046.0
2018-06-06,10770518.0
2018-06-07,11990470.0
2018-06-08,12080619.0
2018-06-09,10923839.0
2018-06-10,10834520.0
2018-06-11,11999905.0
2018-06-12,12031201.0
2018-06-13,10796024.0
2018-06-14,11968787.0
2018-06-15,12130304.0
2018-06-16,10922578.0
2018-06-17,10838862.0
2018-06-18,11969466.0
2018-06-19,12023007.0
2018-06-20,12037710.0
2018-06-21,12000993.0
2018-06-22,12092418.0
2018-06-23,11031933.0
2018-06-24,10816905.0
2018-06-25,12120184.0
2018-06-26,12169812.0
2018-06-27,12234930.0
2018-06-28,12146819.0
2018-06-29,12270235.0
2018-06-30,10962109.0
2018-07-01,10941336.0
2018-07-02,12175419.0
2018-07-03,12215512.0
2018-07-04,12283965.0
2018-07-05,12214116.0
2018-07-06,12300308.0
2018-07-07,11024811.0
2018-07-08,10833335.0
2018-07-09,12178771.0
2018-07-10,12257008.0
2018-07-11,12237700.0
2018-07-12,12145373.0
2018-07-13,12215362.0
2018-07-14,10947827.0
2018-07-15,10853853.0
2018-07-16,12126368.0
2018-07-17,12283184.0
2018-07-18,12230864.0
2018-07-19,12206163.0
2018-07-20,12265959.0
